t,x,y
1.720000000E2,6.455732946E1,9.010159652E1
1.724000000E2,9.103047896E1,4.458635704E1
1.728000000E2,1.137880987E2,2.461538462E1
1.732000000E2,1.309724238E2,1.486211901E1
1.736000000E2,1.504789550E2,1.021770682E1
1.740000000E2,1.983164006E2,1.021770682E1
1.744000000E2,2.210740203E2,1.579100145E1
1.748000000E2,2.057474601E2,2.925979681E1
1.752000000E2,1.839187228E2,5.015965167E1
1.756000000E2,1.388679245E2,4.876632801E1
1.760000000E2,1.193613933E2,5.062409289E1
1.764000000E2,9.846153846E1,6.409288824E1
1.768000000E2,9.010159652E1,8.963715530E1
1.772000000E2,8.917271408E1,1.188969521E2
1.776000000E2,9.474600871E1,1.379390421E2
1.780000000E2,8.777939042E1,1.699854862E2
1.784000000E2,6.966618287E1,1.997097242E2
1.788000000E2,5.666182874E1,2.141074020E2
1.792000000E2,3.483309144E1,2.168940493E2
1.796000000E2,1.811320755E1,2.173584906E2
1.800000000E2,1.857764877E1,2.094629898E2
1.804000000E2,5.898403483E1,2.080696662E2
1.808000000E2,1.425834543E2,2.108563135E2
1.812000000E2,1.788098694E2,2.159651669E2
1.816000000E2,1.997097242E2,2.182873730E2
1.820000000E2,2.076052250E2,2.150362845E2
1.824000000E2,2.094629898E2,2.094629898E2
1.828000000E2,2.076052250E2,2.057474601E2
1.832000000E2,1.978519594E2,1.950653120E2
1.836000000E2,1.955297533E2,1.467634253E2
1.840000000E2,1.797387518E2,1.397968070E2
1.844000000E2,1.588388970E2,1.319013062E2
1.848000000E2,1.453701016E2,1.277213353E2
1.852000000E2,1.202902758E2,1.161103048E2
1.856000000E2,7.802612482E1,8.731494920E1
1.860000000E2,6.269956459E1,5.108853411E1
1.864000000E2,5.944847605E1,4.087082729E1
1.872000000E2,5.619738752E1,2.461538462E1
1.876000000E2,5.619738752E1,2.043541364E1
1.880000000E2,6.316400581E1,1.253991292E1
1.884000000E2,1.198258345E2,1.486211901E1
1.888000000E2,1.625544267E2,1.997097242E1
1.892000000E2,2.122496372E2,1.997097242E1
1.896000000E2,2.261828737E2,3.715529753E1
1.900000000E2,2.271117562E2,4.737300435E1
1.904000000E2,2.275761974E2,5.387518142E1
1.908000000E2,2.201451379E2,8.406386067E1
1.912000000E2,2.266473149E2,1.504789550E2
1.916000000E2,2.173584906E2,2.099274311E2
1.920000000E2,2.113207547E2,2.089985486E2
1.924000000E2,2.089985486E2,2.145718433E2
1.928000000E2,2.192162554E2,2.201451379E2
1.932000000E2,2.099274311E2,2.131785196E2
1.936000000E2,2.103918723E2,2.182873730E2
1.940000000E2,2.145718433E2,2.113207547E2
1.944000000E2,2.048185776E2,2.173584906E2
1.948000000E2,1.997097242E2,2.117851959E2
1.952000000E2,1.031059507E2,2.173584906E2
1.956000000E2,8.081277213E1,2.196806967E2
1.960000000E2,6.269956459E1,2.196806967E2
1.964000000E2,4.505079826E1,2.192162554E2
1.968000000E2,3.622641509E1,2.192162554E2
1.972000000E2,2.182873730E1,2.150362845E2
1.976000000E2,1.393323657E1,2.085341074E2
